timestamp,service,metric,method,value,baseline_median,threshold,score
2026-06-01T07:02:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.39,54.620000000000005,80.239328,3.6031390050511853
2026-06-01T07:03:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,80.94,54.620000000000005,80.239328,3.0820480537194404
2026-06-01T07:04:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,84.72,54.620000000000005,80.239328,3.5246826146259562
2026-06-01T07:07:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,83.1,54.620000000000005,80.239328,3.334982088523163
2026-06-01T07:08:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.3,54.620000000000005,80.239328,3.2413028163736364
2026-06-01T07:10:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.18,54.620000000000005,80.239328,3.2272509255512083
2026-06-01T07:13:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.63,54.620000000000005,80.239328,3.2799455161353164
2026-06-01T07:14:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,88.65,54.620000000000005,80.239328,3.984882039060509
2026-06-01T07:15:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,88.39,54.620000000000005,80.239328,3.954436275611912
2026-06-01T07:17:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.49,54.620000000000005,80.239328,3.2635516435091487
2026-06-01T07:17:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.13,54.620000000000005,80.239328,3.221395971041862
2026-06-01T07:19:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,81.64,54.620000000000005,80.239328,3.164017416850277
2026-06-01T07:21:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,84.14,54.620000000000005,80.239328,3.456765142317549
2026-06-01T07:24:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,83.55,54.620000000000005,80.239328,3.3876766791072725
2026-06-01T07:24:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,83.7,54.620000000000005,80.239328,3.4052415426353093
2026-06-01T07:25:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,81.6,54.620000000000005,80.239328,3.1593334532428
2026-06-01T07:28:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,89.1,54.620000000000005,80.239328,4.037576629644616
2026-06-01T07:28:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,88.25,54.620000000000005,80.239328,3.9380424029857446
2026-06-01T07:29:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.58,54.620000000000005,80.239328,3.6253878321866977
2026-06-01T07:31:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,84.82,54.620000000000005,80.239328,3.5363925236446465
2026-06-01T07:32:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,90.99,54.620000000000005,80.239328,4.258893910097874
2026-06-01T07:33:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.11,54.620000000000005,80.239328,3.219053989238124
2026-06-01T07:33:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,90.94,54.620000000000005,80.239328,4.253038955588529
2026-06-01T07:38:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,87.49,54.620000000000005,80.239328,3.849047094443693
2026-06-01T07:39:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,80.88,54.620000000000005,80.239328,3.0750221083082256
2026-06-01T07:40:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.83,54.620000000000005,80.239328,3.6546626047334247
2026-06-01T07:42:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,86.22,54.620000000000005,80.239328,3.7003312499063195
2026-06-01T07:43:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,87.59,54.620000000000005,80.239328,3.860757003462385
2026-06-01T07:44:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,84.64,54.620000000000005,80.239328,3.5153146874110037
2026-06-01T07:45:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,86.5,54.620000000000005,80.239328,3.733118995158654
2026-06-01T07:45:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,90.48,54.620000000000005,80.239328,4.199173374102552
2026-06-01T07:46:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.81,54.620000000000005,80.239328,3.652320622929687
2026-06-01T07:46:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.08,54.620000000000005,80.239328,3.566838287093243
2026-06-01T07:47:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,91.01,54.620000000000005,80.239328,4.261235891901613
2026-06-01T07:48:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,87.29,54.620000000000005,80.239328,3.825627276406313
2026-06-01T07:49:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,82.01,54.620000000000005,80.239328,3.2073440802194337
2026-06-01T07:49:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,85.92,54.620000000000005,80.239328,3.6652015228502473
2026-06-01T07:52:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,95.95,54.620000000000005,80.239328,4.839705397424943
2026-06-01T07:53:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,83.02,54.620000000000005,80.239328,3.3256141613082106
2026-06-01T07:53:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,84.39,54.620000000000005,80.239328,3.4860399148642762
2026-06-01T07:54:00+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,88.19,54.620000000000005,80.239328,3.93101645757453
2026-06-01T07:54:30+00:00,api-gateway,http_requests_per_sec,robust_mad_3alpha,90.25,54.620000000000005,80.239328,4.172240583359562
