timestamp,memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count
2026-06-01T00:00:00Z,431525846,2147483648,20.57,30.82,43.4,1.97,51.1,0
2026-06-01T00:00:30Z,449833946,2147483648,18.08,47.26,63.0,0.0,53.4,0
2026-06-01T00:01:00Z,434288391,2147483648,16.6,44.16,116.0,0.43,67.7,0
2026-06-01T00:01:30Z,378756116,2147483648,30.04,35.49,52.1,0.52,54.4,0
2026-06-01T00:02:00Z,457694217,2147483648,36.43,26.63,41.8,2.0,52.5,0
2026-06-01T00:02:30Z,443265507,2147483648,17.53,45.88,54.0,0.0,51.5,0
2026-06-01T00:03:00Z,410479042,2147483648,24.76,35.54,66.7,2.0,58.5,0
2026-06-01T00:03:30Z,451234801,2147483648,2.0,39.3,60.5,2.0,52.3,0
2026-06-01T00:04:00Z,445271106,2147483648,15.15,42.04,51.0,0.0,60.8,0
2026-06-01T00:04:30Z,444412149,2147483648,27.24,44.28,33.5,0.0,53.4,0
2026-06-01T00:05:00Z,436708664,2147483648,37.0,37.54,42.9,0.01,17.1,0
2026-06-01T00:05:30Z,456434054,2147483648,20.62,41.94,73.0,0.0,71.7,0
2026-06-01T00:06:00Z,413096175,2147483648,28.7,40.2,75.0,0.0,45.4,0
2026-06-01T00:06:30Z,434729863,2147483648,23.3,37.85,30.0,0.69,32.6,0
2026-06-01T00:07:00Z,425102785,2147483648,30.29,41.42,72.0,0.0,58.9,0
2026-06-01T00:07:30Z,464466377,2147483648,9.41,37.55,30.0,0.0,53.8,0
2026-06-01T00:08:00Z,446410330,2147483648,28.5,37.54,104.4,1.42,55.7,0
2026-06-01T00:08:30Z,436279829,2147483648,16.34,37.79,62.5,2.0,40.6,0
2026-06-01T00:09:00Z,420626216,2147483648,23.25,30.76,74.3,0.0,50.3,0
2026-06-01T00:09:30Z,440448905,2147483648,24.58,35.23,49.7,0.0,47.5,0
2026-06-01T00:10:00Z,451172656,2147483648,18.72,32.82,54.5,0.0,71.9,0
2026-06-01T00:10:30Z,442657065,2147483648,21.14,41.87,88.1,0.0,49.1,0
2026-06-01T00:11:00Z,498988358,2147483648,24.8,30.67,30.0,1.7,62.3,0
2026-06-01T00:11:30Z,490300950,2147483648,20.72,47.97,41.1,2.0,45.5,0
2026-06-01T00:12:00Z,361519963,2147483648,35.99,39.12,84.2,0.0,42.9,0
2026-06-01T00:12:30Z,391614893,2147483648,25.82,38.11,39.4,0.39,12.9,0
2026-06-01T00:13:00Z,452906792,2147483648,23.53,31.84,53.3,0.0,68.8,0
2026-06-01T00:13:30Z,445513473,2147483648,29.34,35.69,30.0,0.3,62.0,0
2026-06-01T00:14:00Z,469005962,2147483648,30.0,46.41,85.0,0.0,46.9,0
2026-06-01T00:14:30Z,470344192,2147483648,26.45,38.47,30.0,2.0,36.3,0
2026-06-01T00:15:00Z,538042068,2147483648,13.57,30.14,30.0,0.28,37.7,0
2026-06-01T00:15:30Z,426146282,2147483648,27.45,42.41,54.3,0.54,54.6,0
2026-06-01T00:16:00Z,452968854,2147483648,27.89,46.36,59.8,0.08,71.0,0
2026-06-01T00:16:30Z,538768013,2147483648,31.28,35.73,34.9,2.0,20.6,0
2026-06-01T00:17:00Z,490958801,2147483648,14.42,37.79,30.0,0.0,35.2,0
2026-06-01T00:17:30Z,492551094,2147483648,16.14,45.79,55.7,0.0,50.5,0
2026-06-01T00:18:00Z,452339125,2147483648,40.3,25.88,48.5,0.0,73.8,0
2026-06-01T00:18:30Z,413597305,2147483648,33.57,44.17,48.3,1.09,31.9,0
2026-06-01T00:19:00Z,478056255,2147483648,21.5,34.69,31.1,2.0,22.5,0
2026-06-01T00:19:30Z,476889373,2147483648,11.78,40.04,32.1,2.0,48.1,0
2026-06-01T00:20:00Z,430958685,2147483648,25.46,44.16,76.6,1.95,60.0,0
2026-06-01T00:20:30Z,450807858,2147483648,26.26,42.07,72.5,0.0,56.7,0
2026-06-01T00:21:00Z,472966154,2147483648,22.37,40.63,50.7,2.0,39.5,0
2026-06-01T00:21:30Z,443149849,2147483648,32.0,44.42,53.5,1.77,33.9,0
2026-06-01T00:22:00Z,473466261,2147483648,22.28,34.64,67.7,0.43,86.8,0
2026-06-01T00:22:30Z,480897780,2147483648,30.92,38.84,92.6,0.0,36.5,0
2026-06-01T00:23:00Z,479411720,2147483648,17.03,34.1,30.0,0.0,63.2,0
2026-06-01T00:23:30Z,461016066,2147483648,21.75,39.58,77.1,0.75,73.2,0
2026-06-01T00:24:00Z,500046884,2147483648,21.36,35.4,45.4,0.0,39.5,0
2026-06-01T00:24:30Z,510944965,2147483648,16.98,33.09,30.0,0.0,71.0,0
2026-06-01T00:25:00Z,491430889,2147483648,34.1,33.08,42.2,0.57,79.4,0
2026-06-01T00:25:30Z,451968567,2147483648,8.96,42.51,57.4,1.52,54.3,0
2026-06-01T00:26:00Z,506577955,2147483648,26.21,28.84,41.3,0.0,45.9,0
2026-06-01T00:26:30Z,463741049,2147483648,15.45,30.89,50.1,0.0,73.1,0
2026-06-01T00:27:00Z,512340999,2147483648,9.68,28.2,48.8,0.0,55.4,0
2026-06-01T00:27:30Z,444294157,2147483648,26.52,31.26,30.0,0.59,15.0,0
2026-06-01T00:28:00Z,514006659,2147483648,11.06,28.03,53.5,0.0,56.2,0
2026-06-01T00:28:30Z,481448794,2147483648,22.67,30.63,48.4,0.0,45.6,0
2026-06-01T00:29:00Z,438552526,2147483648,41.96,31.22,51.1,0.0,82.5,0
2026-06-01T00:29:30Z,471336919,2147483648,22.54,44.89,63.1,0.96,84.4,0
2026-06-01T00:30:00Z,484238539,2147483648,27.4,37.47,61.9,1.26,62.3,0
2026-06-01T00:30:30Z,491871097,2147483648,15.63,32.98,48.4,1.73,80.1,0
2026-06-01T00:31:00Z,447882153,2147483648,26.89,27.41,57.9,0.0,13.9,0
2026-06-01T00:31:30Z,443392958,2147483648,14.11,33.19,67.0,0.0,64.0,0
2026-06-01T00:32:00Z,488985766,2147483648,24.23,43.8,56.9,0.0,47.5,0
2026-06-01T00:32:30Z,465470480,2147483648,20.56,34.86,82.0,0.0,60.8,0
2026-06-01T00:33:00Z,489813073,2147483648,36.23,41.16,32.7,0.0,95.7,0
2026-06-01T00:33:30Z,507874633,2147483648,20.24,38.52,30.0,0.0,59.7,0
2026-06-01T00:34:00Z,423262568,2147483648,19.85,37.08,30.0,0.0,58.3,0
2026-06-01T00:34:30Z,489510209,2147483648,16.28,35.41,66.9,0.27,23.3,0
2026-06-01T00:35:00Z,523063842,2147483648,14.91,35.97,42.3,0.0,37.4,0
2026-06-01T00:35:30Z,469340682,2147483648,25.53,34.86,41.3,0.0,57.9,0
2026-06-01T00:36:00Z,450887191,2147483648,34.57,33.16,86.8,0.77,32.7,0
2026-06-01T00:36:30Z,505064808,2147483648,19.28,36.89,72.3,0.11,64.6,0
2026-06-01T00:37:00Z,487036829,2147483648,24.52,41.78,41.8,0.89,19.8,0
2026-06-01T00:37:30Z,508911781,2147483648,20.3,39.43,43.8,0.0,72.2,0
2026-06-01T00:38:00Z,464823160,2147483648,21.04,28.9,55.3,0.3,50.7,0
2026-06-01T00:38:30Z,424352516,2147483648,33.55,39.57,79.0,0.0,50.5,0
2026-06-01T00:39:00Z,471637306,2147483648,9.43,38.53,48.5,0.79,71.4,0
2026-06-01T00:39:30Z,459116806,2147483648,15.64,33.76,53.7,0.61,71.0,0
2026-06-01T00:40:00Z,501052340,2147483648,32.1,40.89,30.0,0.0,28.1,0
2026-06-01T00:40:30Z,479851030,2147483648,6.48,39.65,61.9,0.0,64.0,0
2026-06-01T00:41:00Z,415115266,2147483648,18.71,45.89,44.9,0.0,40.4,0
2026-06-01T00:41:30Z,429449228,2147483648,16.07,25.78,30.0,0.26,61.8,0
2026-06-01T00:42:00Z,501261964,2147483648,18.24,40.21,30.0,0.33,55.0,0
2026-06-01T00:42:30Z,493135651,2147483648,18.34,30.99,66.2,0.0,65.5,0
2026-06-01T00:43:00Z,445915678,2147483648,28.47,37.12,30.0,0.0,59.1,0
2026-06-01T00:43:30Z,467234298,2147483648,26.9,39.04,106.0,0.0,80.9,0
2026-06-01T00:44:00Z,481780104,2147483648,2.59,43.82,30.0,0.0,46.8,0
2026-06-01T00:44:30Z,481461161,2147483648,36.35,37.42,36.6,0.0,13.9,0
2026-06-01T00:45:00Z,494586188,2147483648,17.94,32.33,30.0,1.4,46.0,0
2026-06-01T00:45:30Z,471714922,2147483648,27.7,40.4,37.5,0.85,15.5,0
2026-06-01T00:46:00Z,458209465,2147483648,16.65,38.9,86.6,1.2,42.0,0
2026-06-01T00:46:30Z,451230455,2147483648,12.92,42.12,30.0,0.0,5.7,0
2026-06-01T00:47:00Z,495974813,2147483648,21.48,22.79,30.0,2.0,46.5,0
2026-06-01T00:47:30Z,378950457,2147483648,37.32,36.52,59.8,0.09,48.4,0
2026-06-01T00:48:00Z,451557714,2147483648,27.46,21.23,66.9,0.79,60.7,0
2026-06-01T00:48:30Z,456220602,2147483648,14.16,37.51,53.3,0.0,36.6,0
2026-06-01T00:49:00Z,403808911,2147483648,22.5,35.97,30.0,0.0,22.9,0
2026-06-01T00:49:30Z,463951643,2147483648,24.8,31.95,60.5,0.43,43.2,0
2026-06-01T00:50:00Z,428092844,2147483648,24.55,38.2,30.0,0.07,31.7,0
2026-06-01T00:50:30Z,479636201,2147483648,29.09,37.1,46.3,0.0,10.4,0
2026-06-01T00:51:00Z,443597289,2147483648,19.74,41.44,92.3,0.98,32.5,0
2026-06-01T00:51:30Z,469936179,2147483648,18.64,43.21,30.0,0.0,51.3,0
2026-06-01T00:52:00Z,487679583,2147483648,26.63,36.57,78.1,0.0,52.8,0
2026-06-01T00:52:30Z,456909295,2147483648,25.34,34.99,60.2,1.46,62.0,0
2026-06-01T00:53:00Z,411326721,2147483648,34.81,32.15,30.0,0.57,42.5,0
2026-06-01T00:53:30Z,387430559,2147483648,15.09,42.21,98.3,1.63,40.0,0
2026-06-01T00:54:00Z,500240512,2147483648,26.68,35.57,30.0,0.0,76.5,0
2026-06-01T00:54:30Z,433403873,2147483648,22.61,34.82,46.0,0.93,32.3,0
2026-06-01T00:55:00Z,411614113,2147483648,30.1,39.07,38.0,1.22,30.2,0
2026-06-01T00:55:30Z,439166510,2147483648,18.9,32.91,71.8,0.0,50.0,0
2026-06-01T00:56:00Z,425811675,2147483648,13.9,34.72,31.9,0.11,38.2,0
2026-06-01T00:56:30Z,460720647,2147483648,7.7,35.87,30.0,1.31,66.0,0
2026-06-01T00:57:00Z,430459891,2147483648,23.09,40.69,79.1,1.38,55.5,0
2026-06-01T00:57:30Z,428123633,2147483648,19.48,30.51,38.1,1.26,34.8,0
2026-06-01T00:58:00Z,400996472,2147483648,35.92,29.85,56.8,0.0,16.4,0
2026-06-01T00:58:30Z,440801502,2147483648,19.48,32.62,59.5,0.35,14.6,0
2026-06-01T00:59:00Z,386537758,2147483648,35.71,32.16,73.9,1.2,12.3,0
2026-06-01T00:59:30Z,444383441,2147483648,15.75,31.66,42.9,0.0,57.1,0
2026-06-01T01:00:00Z,472768212,2147483648,25.23,39.33,39.8,0.2,44.9,0
2026-06-01T01:00:30Z,364419477,2147483648,23.41,33.05,46.7,0.8,10.8,0
2026-06-01T01:01:00Z,329819683,2147483648,26.32,44.64,43.6,1.57,55.9,0
2026-06-01T01:01:30Z,436084936,2147483648,20.5,40.38,63.2,0.0,57.9,0
2026-06-01T01:02:00Z,502030461,2147483648,14.56,35.65,44.7,0.0,43.6,0
2026-06-01T01:02:30Z,376186032,2147483648,15.1,34.89,30.0,1.05,84.3,0
2026-06-01T01:03:00Z,365814042,2147483648,29.58,38.9,30.0,0.0,1.0,0
2026-06-01T01:03:30Z,428579044,2147483648,19.65,47.48,50.8,1.38,61.3,0
2026-06-01T01:04:00Z,376924471,2147483648,23.52,37.62,52.6,0.62,10.3,0
